,PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
113,1017.0,-200.0,2.4,613.0,131.0,919.0,104.0,1007.0,551.0,8.0,65.0,0.6991
114,761.0,-200.0,1.7,563.0,26.0,1316.0,8.0,1106.0,451.0,15.4,53.9,0.9334
115,910.0,-200.0,2.7,630.0,29.0,1061.0,35.0,1504.0,468.0,25.1,62.4,1.9602
116,930.0,-200.0,2.5,616.0,113.0,969.0,90.0,893.0,875.0,3.8,56.8,0.4614
117,1232.0,-200.0,11.6,1035.0,536.0,623.0,132.0,1296.0,1256.0,5.8,81.3,0.7568
118,1017.0,-200.0,6.1,818.0,254.0,842.0,156.0,1034.0,933.0,5.0,54.5,0.4788
119,948.0,-200.0,7.9,893.0,-200.0,828.0,-200.0,1374.0,768.0,31.5,21.5,0.9768
120,1636.0,-200.0,30.1,1553.0,514.0,449.0,166.0,2130.0,1745.0,23.6,54.4,1.5687
121,1162.0,-200.0,16.3,1188.0,303.0,676.0,136.0,1681.0,1125.0,30.2,30.2,1.2744
122,1124.0,-200.0,5.9,805.0,240.0,726.0,128.0,1233.0,938.0,15.6,54.0,0.9515
123,874.0,-200.0,2.5,623.0,125.0,1096.0,78.0,847.0,831.0,2.8,55.2,0.4177
124,-200.0,-200.0,-200.0,-200.0,266.0,-200.0,129.0,-200.0,-200.0,-200.0,-200.0,-200.0
125,1140.0,-200.0,11.6,1035.0,107.0,726.0,112.0,1779.0,1059.0,27.7,39.3,1.4372
126,1210.0,-200.0,12.5,1067.0,151.0,642.0,125.0,1879.0,1158.0,27.3,47.1,1.6807
127,1384.0,-200.0,19.8,1290.0,523.0,475.0,144.0,1571.0,1568.0,10.8,69.5,0.8995
128,1054.0,-200.0,6.1,818.0,289.0,777.0,150.0,966.0,1210.0,7.3,43.8,0.4505
129,1005.0,-200.0,6.4,829.0,242.0,779.0,71.0,1246.0,944.0,11.6,79.7,1.0858
130,1093.0,143.0,8.8,933.0,112.0,976.0,87.0,1454.0,777.0,13.4,41.0,0.6292
131,1088.0,-200.0,6.9,851.0,349.0,766.0,109.0,1307.0,959.0,14.0,75.9,1.2064
132,1140.0,-200.0,14.4,1129.0,132.0,765.0,94.0,1728.0,1023.0,23.8,31.7,0.9212
133,1001.0,-200.0,5.0,762.0,223.0,850.0,131.0,948.0,1155.0,3.0,60.2,0.4639
134,915.0,-200.0,2.4,612.0,-200.0,1266.0,-200.0,1411.0,506.0,14.2,72.3,1.1632
135,968.0,-200.0,2.8,639.0,-200.0,891.0,-200.0,1080.0,794.0,8.4,67.1,0.7411
136,924.0,-200.0,8.5,920.0,92.0,767.0,62.0,1534.0,946.0,22.2,45.0,1.1867
137,942.0,-200.0,3.6,688.0,161.0,897.0,115.0,947.0,882.0,3.8,66.2,0.5359
138,1035.0,-200.0,6.9,851.0,132.0,764.0,69.0,1465.0,1002.0,19.0,70.8,1.5417
139,928.0,-200.0,2.7,631.0,148.0,985.0,89.0,908.0,884.0,4.5,56.3,0.48
140,1183.0,-200.0,7.9,896.0,456.0,673.0,205.0,1115.0,1140.0,6.9,48.8,0.4903
141,812.0,-200.0,2.9,646.0,156.0,1045.0,110.0,731.0,421.0,3.7,35.0,0.2823
142,1009.0,141.0,7.7,885.0,112.0,994.0,87.0,1439.0,751.0,16.3,38.1,0.7006
143,1059.0,-200.0,9.2,947.0,90.0,733.0,74.0,1671.0,813.0,33.3,32.8,1.6527
144,960.0,-200.0,5.7,798.0,73.0,854.0,84.0,1459.0,780.0,28.0,34.9,1.2989
145,879.0,-200.0,2.8,642.0,140.0,1027.0,101.0,836.0,545.0,2.5,51.0,0.3778
146,981.0,-200.0,10.2,985.0,99.0,779.0,97.0,1572.0,1020.0,24.3,36.3,1.0852
147,940.0,-200.0,3.2,665.0,188.0,900.0,112.0,955.0,879.0,1.4,76.3,0.5261
148,830.0,-200.0,2.9,644.0,17.0,1235.0,23.0,1487.0,524.0,19.6,68.4,1.5443
149,1138.0,-200.0,9.0,938.0,147.0,700.0,87.0,1500.0,1098.0,22.1,61.3,1.6053
150,843.0,-200.0,4.0,712.0,77.0,1303.0,77.0,1343.0,548.0,18.9,42.1,0.9081
151,1339.0,-200.0,24.8,1425.0,332.0,595.0,131.0,2264.0,1495.0,20.5,48.2,1.1474
152,1060.0,-200.0,7.5,877.0,327.0,1648.0,107.0,1313.0,929.0,11.3,83.1,1.1089
153,1139.0,-200.0,11.0,1013.0,87.0,672.0,60.0,1932.0,1034.0,26.4,61.7,2.0929
154,2008.0,-200.0,50.6,1980.0,1389.0,325.0,220.0,2562.0,2342.0,12.4,74.7,1.0741
155,1105.0,-200.0,10.5,995.0,162.0,778.0,149.0,1681.0,821.0,37.1,23.0,1.4229
156,800.0,-200.0,2.8,641.0,126.0,1113.0,76.0,957.0,591.0,11.2,42.0,0.5582
157,765.0,-200.0,2.8,637.0,141.0,1138.0,74.0,1113.0,742.0,15.0,52.8,0.8929
158,866.0,-200.0,2.4,613.0,124.0,1075.0,97.0,810.0,579.0,3.3,47.4,0.3716
159,858.0,-200.0,5.3,776.0,43.0,947.0,56.0,1431.0,498.0,38.1,21.1,1.3863
160,1030.0,-200.0,4.2,724.0,204.0,832.0,138.0,893.0,1285.0,4.4,43.3,0.3656
161,1217.0,-200.0,8.5,921.0,257.0,589.0,154.0,1336.0,1261.0,13.5,63.8,0.9797
162,1088.0,-200.0,17.9,1238.0,261.0,654.0,171.0,1709.0,1359.0,31.8,19.4,0.8936
163,1109.0,-200.0,11.8,1042.0,140.0,834.0,95.0,1888.0,998.0,24.5,51.0,1.5454
164,1097.0,-200.0,6.5,833.0,-200.0,853.0,-200.0,1470.0,1015.0,24.8,48.2,1.4883
165,1034.0,-200.0,4.2,719.0,153.0,858.0,86.0,1189.0,845.0,11.8,76.3,1.0547
166,1428.0,-200.0,13.0,1085.0,550.0,526.0,213.0,1268.0,2023.0,8.3,53.3,0.5843
167,1415.0,-200.0,19.3,1278.0,796.0,483.0,211.0,1399.0,1870.0,11.1,38.4,0.5066
168,1065.0,151.0,9.3,953.0,107.0,962.0,97.0,1514.0,790.0,13.7,49.5,0.7695
169,1449.0,-200.0,19.8,1291.0,718.0,482.0,138.0,1580.0,1817.0,10.0,82.6,1.0163
170,1347.0,-200.0,16.2,1186.0,-200.0,560.0,-200.0,1713.0,1493.0,22.5,55.6,1.499
171,905.0,-200.0,2.5,620.0,120.0,986.0,90.0,904.0,598.0,4.0,56.8,0.4688
172,1522.0,-200.0,17.6,1229.0,575.0,470.0,207.0,1488.0,1943.0,10.8,52.0,0.6738
173,994.0,-200.0,4.0,711.0,-200.0,867.0,-200.0,1384.0,909.0,20.5,64.0,1.5247
174,1015.0,-200.0,6.8,850.0,57.0,802.0,79.0,1531.0,1173.0,27.2,36.9,1.3147
175,,,,,,,,,,,,
176,922.0,-200.0,4.1,716.0,192.0,930.0,115.0,893.0,643.0,6.6,41.2,0.4046
177,1161.0,173.0,9.0,938.0,109.0,827.0,87.0,1597.0,1243.0,16.3,55.3,1.0178
178,801.0,-200.0,0.9,494.0,73.0,1324.0,58.0,754.0,395.0,1.6,51.0,0.3561
179,1218.0,-200.0,16.6,1198.0,280.0,671.0,183.0,1907.0,1413.0,32.6,28.0,1.3566
180,884.0,-200.0,3.6,686.0,26.0,908.0,40.0,1439.0,651.0,22.9,56.1,1.5492
181,932.0,-200.0,5.1,767.0,248.0,888.0,167.0,920.0,669.0,4.2,49.5,0.4118
182,1075.0,-200.0,8.1,904.0,44.0,720.0,74.0,1692.0,777.0,26.4,52.2,1.7708
183,-200.0,299.0,-200.0,-200.0,215.0,-200.0,117.0,-200.0,-200.0,-200.0,-200.0,-200.0
184,911.0,-200.0,4.2,719.0,-200.0,947.0,-200.0,1170.0,839.0,11.6,73.4,0.999
185,1109.0,151.0,9.1,943.0,115.0,883.0,103.0,1604.0,767.0,18.1,42.2,0.8679
186,973.0,-200.0,6.8,850.0,395.0,868.0,165.0,1213.0,852.0,8.0,81.6,0.8755
187,1320.0,-200.0,24.8,1423.0,-200.0,767.0,-200.0,1986.0,1385.0,27.0,23.5,0.8256
188,838.0,-200.0,4.3,726.0,46.0,1056.0,61.0,1382.0,440.0,35.0,22.4,1.2371
189,887.0,-200.0,2.9,647.0,50.0,1046.0,61.0,1500.0,740.0,25.1,48.0,1.5115
190,1094.0,24.0,2.3,609.0,45.0,1579.0,60.0,1276.0,620.0,10.7,59.7,0.7648
191,679.0,-200.0,0.6,449.0,42.0,1666.0,31.0,800.0,314.0,10.7,36.1,0.4639
192,934.0,-200.0,5.5,787.0,-200.0,822.0,-200.0,1147.0,974.0,8.1,78.1,0.8452
193,1229.0,-200.0,9.0,941.0,220.0,680.0,68.0,1653.0,1040.0,24.8,59.6,1.8351
194,950.0,-200.0,5.4,786.0,282.0,1038.0,101.0,1145.0,850.0,14.7,52.5,0.8716
195,1101.0,-200.0,8.9,934.0,333.0,751.0,116.0,1085.0,1208.0,12.6,39.9,0.5804
196,991.0,-200.0,3.0,653.0,228.0,944.0,146.0,885.0,931.0,5.9,45.1,0.4211
197,1284.0,-200.0,18.3,1249.0,363.0,582.0,167.0,1842.0,1300.0,24.6,54.0,1.6461
198,928.0,-200.0,4.9,759.0,-200.0,871.0,-200.0,1040.0,775.0,11.3,45.4,0.6063
199,834.0,-200.0,1.3,527.0,10.0,1242.0,17.0,1458.0,427.0,22.5,69.1,1.8578
200,1506.0,-200.0,22.3,1360.0,529.0,458.0,113.0,1944.0,1609.0,22.0,69.2,1.8061
201,989.0,-200.0,6.3,827.0,56.0,827.0,79.0,1513.0,1163.0,25.4,41.0,1.3079
202,922.0,-200.0,6.7,842.0,268.0,849.0,140.0,858.0,676.0,2.1,36.6,0.2634
203,1108.0,125.0,6.8,848.0,102.0,1023.0,96.0,1421.0,1003.0,11.8,50.8,0.7042
204,1233.0,-200.0,14.9,1144.0,-200.0,575.0,-200.0,1436.0,1271.0,13.1,54.3,0.8167
205,1187.0,-200.0,13.6,1104.0,208.0,727.0,108.0,1721.0,1391.0,17.6,43.3,0.8647
206,1058.0,-200.0,9.6,962.0,397.0,778.0,132.0,1058.0,1153.0,6.0,47.6,0.4488
207,1488.0,-200.0,21.4,1336.0,999.0,479.0,211.0,1483.0,1985.0,5.1,64.3,0.5697
208,891.0,-200.0,4.4,735.0,112.0,878.0,44.0,1353.0,933.0,16.5,75.5,1.4056
209,1011.0,-200.0,7.2,864.0,65.0,809.0,79.0,1532.0,1231.0,28.4,32.5,1.2361
210,1111.0,-200.0,10.4,993.0,-200.0,662.0,-200.0,1287.0,1058.0,13.0,53.9,0.8029
211,814.0,-200.0,0.8,482.0,57.0,1426.0,41.0,1027.0,457.0,14.5,62.9,1.0335
212,1152.0,-200.0,9.5,959.0,373.0,689.0,114.0,1232.0,1231.0,9.3,64.5,0.7554
213,1317.0,-200.0,18.3,1247.0,667.0,558.0,182.0,1360.0,1571.0,0.9,59.1,0.3913
214,1235.0,-200.0,14.3,1125.0,241.0,574.0,81.0,1704.0,1462.0,24.5,54.5,1.6514
215,1392.0,-200.0,9.7,967.0,119.0,930.0,94.0,1649.0,941.0,19.1,43.8,0.9556
216,,,,,,,,,,,,
217,1440.0,-200.0,31.0,1573.0,578.0,491.0,204.0,1997.0,1643.0,25.3,33.0,1.0473
218,936.0,-200.0,2.6,628.0,104.0,876.0,64.0,1173.0,782.0,12.3,74.2,1.0583
219,1076.0,-200.0,12.9,1080.0,-200.0,846.0,-200.0,1787.0,1070.0,21.1,48.1,1.1864
220,-200.0,-200.0,-200.0,-200.0,641.0,-200.0,168.0,-200.0,-200.0,-200.0,-200.0,-200.0
221,948.0,-200.0,4.8,754.0,64.0,1086.0,64.0,1436.0,602.0,24.4,32.7,0.9863
222,983.0,-200.0,2.2,600.0,-200.0,1233.0,-200.0,1375.0,485.0,15.0,61.5,1.0418
223,1054.0,-200.0,16.5,1195.0,205.0,815.0,126.0,1848.0,1078.0,35.9,18.9,1.0999
224,1508.0,-200.0,27.0,1479.0,900.0,419.0,215.0,1685.0,2014.0,5.7,52.5,0.4851
225,1009.0,-200.0,7.4,875.0,81.0,797.0,61.0,1738.0,1060.0,26.4,53.1,1.7987
226,1597.0,-200.0,26.5,1466.0,320.0,518.0,109.0,2400.0,1687.0,16.9,66.1,1.2613
227,1127.0,-200.0,7.6,884.0,248.0,704.0,136.0,1173.0,983.0,4.0,80.4,0.663
228,1014.0,-200.0,6.9,853.0,98.0,843.0,39.0,1499.0,1084.0,26.0,46.4,1.5375
229,986.0,57.0,3.0,651.0,60.0,1145.0,74.0,1380.0,891.0,14.5,58.0,0.9488
230,1125.0,179.0,8.6,924.0,102.0,937.0,73.0,1542.0,790.0,21.8,33.9,0.8771
231,848.0,-200.0,2.4,612.0,83.0,1169.0,62.0,852.0,703.0,4.8,49.9,0.4325
232,1713.0,-200.0,32.4,1605.0,980.0,383.0,212.0,1870.0,2186.0,12.2,44.8,0.6342
233,850.0,-200.0,2.7,632.0,-200.0,954.0,-200.0,1316.0,803.0,24.2,50.6,1.5011
234,1501.0,-200.0,23.6,1392.0,575.0,476.0,128.0,1832.0,1645.0,15.7,72.7,1.2872
235,1272.0,51.0,6.5,836.0,131.0,1205.0,116.0,1490.0,1110.0,11.2,59.6,0.7888
236,1309.0,220.0,14.3,1126.0,166.0,812.0,128.0,1722.0,1205.0,11.5,58.2,0.7867
237,1203.0,-200.0,15.8,1174.0,-200.0,577.0,-200.0,1824.0,1426.0,30.8,34.8,1.5165
238,1243.0,-200.0,10.5,997.0,-200.0,648.0,-200.0,1587.0,1155.0,24.2,51.9,1.5426
239,1260.0,-200.0,15.3,1160.0,403.0,568.0,79.0,1755.0,1231.0,19.6,75.3,1.6981
240,1117.0,-200.0,12.1,1052.0,148.0,671.0,137.0,1780.0,824.0,37.5,24.4,1.5515
241,1237.0,-200.0,10.5,997.0,97.0,800.0,87.0,1688.0,924.0,29.2,27.0,1.081
242,932.0,-200.0,2.1,595.0,120.0,991.0,100.0,1025.0,771.0,5.0,82.8,0.7273
243,920.0,-200.0,7.4,875.0,75.0,915.0,80.0,1594.0,744.0,20.9,48.9,1.1945
244,815.0,-200.0,0.9,488.0,63.0,1223.0,49.0,742.0,326.0,11.2,38.3,0.5099
245,835.0,-200.0,2.6,626.0,39.0,1088.0,41.0,1471.0,563.0,24.7,55.9,1.7114
246,1258.0,-200.0,12.1,1052.0,354.0,551.0,172.0,1297.0,1205.0,17.8,33.3,0.6741
247,1063.0,-200.0,9.6,964.0,-200.0,729.0,-200.0,1454.0,1045.0,17.4,62.3,1.2282
248,-200.0,-200.0,-200.0,-200.0,169.0,-200.0,69.0,-200.0,-200.0,-200.0,-200.0,-200.0
249,1062.0,-200.0,8.6,924.0,69.0,892.0,76.0,1683.0,777.0,37.0,20.1,1.2423
250,1168.0,-200.0,8.3,911.0,-200.0,715.0,-200.0,1517.0,969.0,27.4,41.8,1.5056
251,1003.0,-200.0,8.0,901.0,-200.0,813.0,-200.0,1589.0,661.0,39.1,21.7,1.5031
252,946.0,-200.0,8.8,931.0,126.0,917.0,69.0,1745.0,884.0,18.2,62.3,1.2903
