,Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
77,85,340,115,5,4.5,4.5,9.45,1,0.94
78,330,297,96,2,2.5,1.5,7.89,0,0.43
79,307,323,110,3,4.0,3.5,9.1,1,0.79
80,240,299,100,1,1.5,2.0,7.89,0,0.59
81,83,320,110,5,5.0,4.5,9.22,1,0.92
82,246,328,110,4,4.0,2.5,9.02,1,0.81
83,144,340,120,4,4.5,4.0,9.92,1,0.97
84,11,325,106,3,3.5,4.0,8.4,1,0.52
85,181,300,104,3,3.5,3.0,8.16,0,0.71
86,142,332,118,2,4.5,3.5,9.36,1,0.9
87,238,329,114,5,4.5,5.0,9.19,1,0.86
88,357,327,109,3,3.5,4.0,8.77,1,0.79
89,290,313,109,3,4.0,3.5,9.0,0,0.79
90,25,336,119,5,4.0,3.5,9.8,1,0.97
91,264,324,111,3,2.5,1.5,8.79,1,0.7
92,270,308,108,4,4.5,5.0,8.34,0,0.77
93,56,320,103,3,3.0,3.0,7.7,0,0.64
94,101,322,107,3,3.5,3.5,8.46,1,0.71
95,38,300,105,1,1.0,2.0,7.8,0,0.58
96,277,329,113,5,5.0,4.5,9.45,1,0.89
97,192,323,110,5,4.0,5.0,8.98,1,0.87
98,68,316,107,2,3.5,3.5,8.64,1,0.57
99,132,303,105,5,5.0,4.5,8.65,0,0.77
100,10,323,108,3,3.5,3.0,8.6,0,0.45
101,197,306,105,2,3.0,2.5,8.26,0,0.73
102,169,293,97,2,2.0,4.0,7.8,1,0.64
103,104,317,104,2,4.5,4.0,8.47,0,0.57
104,396,324,110,3,3.5,3.5,9.04,1,0.82
105,31,300,97,2,3.0,3.0,8.1,1,0.65
106,295,316,101,2,2.5,2.0,8.32,1,0.61
107,368,311,98,1,1.0,2.5,7.46,0,0.57
108,116,310,106,4,4.5,4.5,9.04,1,0.66
109,36,320,110,5,5.0,5.0,9.2,1,0.88
110,319,324,111,3,2.5,2.0,8.8,1,0.79
111,205,298,105,3,3.5,4.0,8.54,0,0.69
112,244,325,114,3,3.5,3.0,9.04,1,0.76
113,324,305,102,2,2.0,2.5,8.18,0,0.62
114,22,325,114,4,3.0,2.0,8.4,0,0.7
115,150,311,106,2,3.5,3.0,8.26,1,0.79
116,335,312,107,4,4.5,4.0,8.65,1,0.73
117,260,331,119,4,5.0,4.5,9.34,1,0.9
118,41,308,110,3,3.5,3.0,8.0,1,0.46
119,74,314,108,4,4.5,4.0,9.04,1,0.84
120,391,314,102,2,2.0,2.5,8.24,0,0.64
121,331,327,113,3,3.5,3.0,8.66,1,0.8
122,303,322,105,2,3.0,3.0,8.45,1,0.65
123,6,330,115,5,4.5,3.0,9.34,1,0.9
124,155,326,108,3,3.0,3.5,8.89,0,0.8
125,359,314,105,2,2.5,2.0,7.64,0,0.7
126,219,324,110,4,3.0,3.5,8.97,1,0.84
127,236,326,111,5,4.5,4.0,9.23,1,0.88
128,71,332,118,5,5.0,5.0,9.64,1,0.94
129,293,302,99,2,1.0,2.0,7.97,0,0.56
130,119,296,99,2,3.0,3.5,7.28,0,0.47
131,212,328,110,4,5.0,4.0,9.14,1,0.82
132,63,304,105,2,3.0,3.0,8.2,1,0.54
133,95,303,99,3,2.0,2.5,7.66,0,0.36
134,323,314,107,2,2.5,4.0,8.27,0,0.72
135,318,300,99,1,1.0,2.5,8.01,0,0.58
136,89,314,108,3,4.5,3.5,8.14,0,0.64
137,235,330,113,5,5.0,4.0,9.31,1,0.91
138,313,311,107,4,4.5,4.5,9.0,1,0.78
139,283,312,106,3,4.0,3.5,8.79,1,0.81
140,282,317,110,3,4.0,4.5,9.11,1,0.8
141,111,305,108,5,3.0,3.0,8.48,0,0.61
142,160,297,100,1,1.5,2.0,7.9,0,0.52
143,158,309,104,2,2.0,2.5,8.26,0,0.65
144,316,308,104,2,2.5,3.0,8.07,0,0.65
145,349,302,99,1,2.0,2.0,7.25,0,0.57
146,274,312,99,1,1.0,1.5,8.01,1,0.52
147,304,323,107,3,3.5,3.5,8.55,1,0.73
148,320,327,113,4,3.5,3.0,8.69,1,0.8
149,363,338,115,5,4.5,5.0,9.23,1,0.91
150,237,325,112,4,4.0,4.5,9.17,1,0.85
151,165,329,111,4,4.5,4.0,9.01,1,0.81
152,355,297,98,2,2.5,3.0,7.67,0,0.59
153,137,312,103,3,5.0,4.0,8.45,0,0.76
154,223,324,113,4,4.5,4.0,8.79,0,0.76
155,275,315,100,1,2.0,2.5,7.95,0,0.58
156,338,332,118,5,5.0,5.0,9.47,1,0.94
157,143,331,115,5,4.0,3.5,9.44,1,0.92
158,372,324,110,3,3.5,3.0,9.22,1,0.89
159,81,312,105,3,2.0,3.0,8.02,1,0.5
160,50,327,111,4,3.0,4.0,8.4,1,0.78
161,140,318,109,1,3.5,3.5,9.12,0,0.78
162,322,323,104,3,4.0,4.0,8.44,1,0.73
163,377,297,96,2,2.5,2.0,7.43,0,0.34
164,273,294,95,1,1.5,1.5,7.64,0,0.49
165,126,300,100,3,2.0,3.0,8.66,1,0.64
166,226,296,99,2,2.5,2.5,8.03,0,0.61
167,98,331,120,3,4.0,4.0,8.96,1,0.86
168,96,304,100,4,1.5,2.5,7.84,0,0.42
169,311,320,104,3,3.0,3.5,8.74,1,0.76
170,59,300,99,1,3.0,2.0,6.8,1,0.36
171,61,309,100,2,3.0,3.0,8.1,0,0.48
172,272,299,96,2,1.5,2.0,7.86,0,0.54
173,62,307,101,3,4.0,3.0,8.2,0,0.47
174,392,318,106,3,2.0,3.0,8.65,0,0.71
175,107,329,111,4,4.5,4.5,9.18,1,0.87
176,47,329,114,5,4.0,5.0,9.3,1,0.86
177,356,317,106,2,2.0,3.5,8.12,0,0.73
178,285,340,112,4,5.0,4.5,9.66,1,0.94
179,105,326,112,3,3.5,3.0,9.05,1,0.74
180,67,327,114,3,3.0,3.0,9.02,0,0.61
181,9,302,102,1,2.0,1.5,8.0,0,0.5
182,45,326,113,5,4.5,4.0,9.4,1,0.91
183,369,298,92,1,2.0,2.0,7.88,0,0.51
184,124,308,108,3,3.5,3.5,8.22,0,0.61
185,284,321,111,3,2.5,3.0,8.9,1,0.8
186,42,316,105,2,2.5,2.5,8.2,1,0.49
187,114,320,110,2,4.0,3.5,8.56,0,0.72
188,366,330,114,4,4.5,3.0,9.17,1,0.86
189,216,330,116,5,5.0,4.5,9.36,1,0.93
190,262,312,104,3,3.5,4.0,8.09,0,0.71
191,259,326,102,4,5.0,5.0,8.76,1,0.77
192,173,322,110,4,4.0,5.0,9.13,1,0.86
193,13,328,112,4,4.0,4.5,9.1,1,0.78
194,97,306,100,2,3.0,3.0,8.0,0,0.48
195,153,321,112,5,5.0,5.0,9.06,1,0.86
196,297,310,107,3,3.5,3.5,8.67,0,0.76
197,157,315,105,3,2.0,2.5,8.34,0,0.7
198,280,304,102,2,3.0,4.0,8.73,0,0.67
199,147,315,105,3,2.0,2.5,8.48,0,0.75
200,266,313,102,3,2.5,2.5,8.68,0,0.71
201,54,324,112,4,4.0,2.5,8.1,1,0.72
202,102,312,105,2,2.5,3.0,8.12,0,0.64
203,189,331,115,5,4.5,3.5,9.36,1,0.93
204,91,318,106,2,4.0,4.0,7.92,1,0.64
205,8,308,101,2,3.0,4.0,7.9,0,0.68
206,232,319,106,3,3.5,2.5,8.33,1,0.74
207,254,335,115,4,4.5,4.5,9.68,1,0.93
208,171,312,101,2,2.5,3.5,8.04,1,0.68
209,296,317,100,2,3.0,2.5,8.57,0,0.68
210,334,319,108,3,3.0,3.5,8.54,1,0.71
211,2,324,107,4,4.0,4.5,8.87,1,0.76
212,92,299,97,3,5.0,3.5,7.66,0,0.38
213,395,329,111,4,4.5,4.0,9.23,1,0.89
214,227,306,110,2,3.5,4.0,8.45,0,0.63
215,108,338,117,4,3.5,4.5,9.46,1,0.91
216,146,320,113,2,2.0,2.5,8.64,1,0.81
217,72,336,112,5,5.0,5.0,9.76,1,0.96
218,200,313,107,3,4.0,4.5,8.69,0,0.72
219,317,298,101,2,1.5,2.0,7.86,0,0.54
220,21,312,107,3,3.0,2.0,7.9,1,0.64
221,385,340,113,4,5.0,5.0,9.74,1,0.96
222,234,304,100,2,2.5,3.5,8.07,0,0.64
223,364,306,103,2,2.5,3.0,8.36,0,0.69
224,251,320,104,3,3.0,2.5,8.57,1,0.74
225,139,326,116,2,4.5,3.0,9.08,1,0.8
226,58,298,99,2,4.0,2.0,7.6,0,0.46
227,196,307,107,2,3.0,3.5,8.52,1,0.78
228,106,316,110,3,4.0,4.5,8.78,1,0.69
229,390,320,108,3,3.5,4.0,8.44,1,0.76
230,164,317,105,3,3.5,3.0,8.56,0,0.68
231,166,322,110,5,4.5,4.0,8.97,0,0.78
232,163,318,109,3,3.0,3.0,8.5,0,0.67
233,326,326,116,3,3.5,4.0,9.14,1,0.81
234,15,311,104,3,3.5,2.0,8.2,1,0.61
235,130,333,118,5,5.0,5.0,9.35,1,0.92
236,185,316,106,2,2.5,4.0,8.32,0,0.72
237,198,310,106,2,3.5,2.5,8.33,0,0.73
238,253,318,100,2,2.5,3.5,8.54,1,0.71
239,229,318,112,3,4.0,3.5,8.67,0,0.71
240,360,321,107,2,2.0,1.5,8.44,0,0.81
241,215,331,117,4,4.5,5.0,9.42,1,0.94
242,367,320,104,3,3.5,4.5,8.34,1,0.74
243,93,298,98,2,4.0,3.0,8.03,0,0.34
244,14,307,109,3,4.0,3.0,8.0,1,0.62
245,26,340,120,5,4.5,4.5,9.6,1,0.94
246,350,313,101,3,2.5,3.0,8.04,0,0.62
247,149,339,116,4,4.0,3.5,9.8,1,0.96
248,194,336,118,5,4.5,5.0,9.53,1,0.94
249,28,298,98,2,1.5,2.5,7.5,1,0.44
250,299,330,114,3,4.5,4.5,9.24,1,0.9
251,156,312,109,3,3.0,3.0,8.69,0,0.77
252,245,314,107,2,2.5,4.0,8.56,0,0.63
253,48,339,119,5,4.5,4.0,9.7,0,0.89
254,354,300,102,3,3.5,2.5,8.17,0,0.63
255,382,319,105,3,3.0,3.5,8.67,1,0.73
256,16,314,105,3,3.5,2.5,8.3,0,0.54
257,122,334,119,5,4.5,4.5,9.48,1,0.94
258,136,314,109,4,3.5,4.0,8.77,1,0.82
259,340,324,107,5,3.5,4.0,8.66,1,0.81
260,19,318,110,3,4.0,3.0,8.8,0,0.63
261,341,312,107,3,3.0,3.0,8.46,1,0.75
262,250,321,111,3,3.5,4.0,8.83,1,0.77
263,75,314,106,3,3.0,5.0,8.9,0,0.74
264,117,299,102,3,4.0,3.5,8.62,0,0.56
265,159,306,106,2,2.0,2.5,8.14,0,0.61
266,182,305,107,2,2.5,2.5,8.42,0,0.71
267,33,338,118,4,3.0,4.5,9.4,1,0.91
268,12,327,111,4,4.0,4.5,9.0,1,0.84
269,78,301,99,2,3.0,2.0,8.22,0,0.64
270,94,301,97,2,3.0,3.0,7.88,1,0.44
271,292,300,102,2,1.5,2.0,7.87,0,0.56
272,247,316,105,3,3.0,3.5,8.73,0,0.72
273,172,334,117,5,4.0,4.5,9.07,1,0.89
274,217,322,112,4,4.5,4.5,9.26,1,0.91
275,302,319,108,2,2.5,3.0,8.76,0,0.66
276,321,317,106,3,4.0,3.5,8.5,1,0.75
277,380,311,99,1,2.5,3.0,8.43,1,0.71
278,39,304,105,1,3.0,1.5,7.5,0,0.52
279,5,314,103,2,2.0,3.0,8.21,0,0.65
280,206,295,99,2,2.5,3.0,7.65,0,0.57
281,151,334,114,4,4.0,4.0,9.43,1,0.93
282,365,313,102,3,3.5,4.0,8.9,1,0.77
283,204,334,120,5,4.0,5.0,9.87,1,0.97
284,184,314,110,3,4.0,4.0,8.8,0,0.75
285,287,336,118,5,4.5,4.0,9.19,1,0.92
286,387,302,101,2,2.5,3.5,7.96,0,0.46
287,261,327,108,5,5.0,3.5,9.13,1,0.87
288,231,313,104,3,4.0,4.5,8.65,0,0.73
289,294,312,98,1,3.5,3.0,8.18,1,0.64
290,361,322,110,3,4.0,5.0,8.64,1,0.85
291,309,312,108,3,3.5,3.0,8.53,0,0.69
292,291,307,105,2,2.5,3.0,7.65,0,0.58
293,73,321,111,5,5.0,5.0,9.45,1,0.93
294,90,316,109,4,4.5,3.5,8.76,1,0.74
295,258,324,100,3,4.0,5.0,8.64,1,0.78
296,20,303,102,3,3.5,3.0,8.5,0,0.62
297,383,324,110,4,4.5,4.0,9.15,1,0.82
298,193,322,114,5,4.5,4.0,8.94,1,0.86
299,37,299,106,2,4.0,4.0,8.4,0,0.64
300,378,290,100,1,1.5,2.0,7.56,0,0.47
301,30,310,99,2,1.5,2.0,7.3,0,0.54
302,103,314,106,2,4.0,3.5,8.25,0,0.62
303,345,295,96,2,1.5,2.0,7.34,0,0.47
304,77,327,112,3,3.0,3.0,8.72,1,0.74
305,113,301,107,3,3.5,3.5,8.34,1,0.62
306,174,323,113,4,4.0,4.5,9.23,1,0.89
307,133,309,105,5,3.5,3.5,8.56,0,0.71
308,214,333,119,5,5.0,4.5,9.78,1,0.96
309,388,307,105,2,2.0,3.5,8.1,0,0.53
310,337,319,110,3,3.0,2.5,8.79,0,0.72
311,269,327,113,4,4.5,5.0,9.14,0,0.83
312,310,308,110,4,3.5,3.0,8.6,0,0.7
313,308,325,112,4,4.0,4.0,9.0,1,0.8
314,32,327,103,3,4.0,4.0,8.3,1,0.74
315,1,337,118,4,4.5,4.5,9.65,1,0.92
316,376,304,101,2,2.0,2.5,7.66,0,0.38
317,327,299,100,3,2.0,2.0,8.02,0,0.63
318,379,303,98,1,2.0,2.5,7.65,0,0.56
319,263,308,103,2,2.5,4.0,8.36,1,0.7
